2019-07-15 17:21:15,952 [  13467]   INFO - il.indexing.FileBasedIndexImpl - Index jvm.hierarchy will be built. 
2019-07-15 17:21:15,956 [  13471]   INFO - il.indexing.FileBasedIndexImpl - Index RefQueueIndex will be built. 
2019-07-15 17:21:15,956 [  13471]   INFO - .intellij.idea.IdeaApplication - App initialization took 13881 ms 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.kotlin loaded 1201 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.intellij.scala loaded 895 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.intellij.groovy loaded 250 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.android loaded 160 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.maven loaded 39 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.settingsRepository loaded 30 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.intellij.properties loaded 28 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - XPathView loaded 21 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.editorconfig.editorconfigjetbrains loaded 17 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.yaml loaded 15 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - gherkin loaded 14 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.javaFX loaded 13 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - Subversion loaded 12 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.intellij.tasks loaded 11 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - Git4Idea loaded 9 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - DevKit loaded 8 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.intellij.uiDesigner loaded 8 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.android.tools.idea.smali loaded 5 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.java.decompiler loaded 5 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.github loaded 5 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - hg4idea loaded 5 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - AntSupport loaded 5 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.intellij.intelliLang loaded 4 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.gradle loaded 3 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - cucumber-java loaded 3 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.eclipse loaded 2 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.intellij.java-i18n loaded 1 classes 
2019-07-15 17:21:15,957 [  13472]   INFO - llij.ide.plugins.PluginManager - com.intellij.copyright loaded 1 classes 
2019-07-15 17:21:15,959 [  13474]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-07-15 17:21:15,964 [  13479]   INFO - il.indexing.FileBasedIndexImpl - Index xmlProperties will be built. 
2019-07-15 17:21:15,968 [  13483]   INFO - il.indexing.FileBasedIndexImpl - Index ant-imports will be built. 
2019-07-15 17:21:15,970 [  13485]   INFO - il.indexing.FileBasedIndexImpl - Index FormClassIndex will be built. 
2019-07-15 17:21:15,974 [  13489]   INFO - il.indexing.FileBasedIndexImpl - Index java.cucumber.java8.step will be built. 
2019-07-15 17:21:15,978 [  13493]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-07-15 17:21:15,981 [  13496]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.fields will be built. 
2019-07-15 17:21:15,989 [  13504]   INFO - il.indexing.FileBasedIndexImpl - Index groovy.trait.methods will be built. 
2019-07-15 17:21:15,993 [  13508]   INFO - il.indexing.FileBasedIndexImpl - Index IdeaPluginRegistrationIndex will be built. 
2019-07-15 17:21:16,002 [  13517]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJvmMetadataVersionIndex will be built. 
2019-07-15 17:21:16,005 [  13520]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.versions.KotlinJsMetadataVersionIndex will be built. 
2019-07-15 17:21:16,007 [  13522]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinClassFileIndex will be built. 
2019-07-15 17:21:16,009 [  13524]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJavaScriptMetaFileIndex will be built. 
2019-07-15 17:21:16,011 [  13526]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFileIndex will be built. 
2019-07-15 17:21:16,013 [  13528]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinMetadataFilePackageIndex will be built. 
2019-07-15 17:21:16,015 [  13530]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinModuleMappingIndex will be built. 
2019-07-15 17:21:16,018 [  13533]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinPackageSourcesMemberNamesIndex will be built. 
2019-07-15 17:21:16,021 [  13536]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.idea.vfilefinder.KotlinJvmModuleAnnotationsIndex will be built. 
2019-07-15 17:21:16,025 [  13540]   INFO - il.indexing.FileBasedIndexImpl - Index org.jetbrains.kotlin.ide.konan.index.KotlinNativeMetaFileIndex will be built. 
2019-07-15 17:21:16,028 [  13543]   INFO - il.indexing.FileBasedIndexImpl - Index JavaFxControllerClassIndex will be built. 
2019-07-15 17:21:16,031 [  13546]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.id.name will be built. 
2019-07-15 17:21:16,033 [  13548]   INFO - il.indexing.FileBasedIndexImpl - Index javafx.custom.component will be built. 
2019-07-15 17:21:16,039 [  13554]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-07-15 17:21:16,051 [  13566]   INFO - pl$FileIndexDataInitialization - Initialization done:1105 
2019-07-15 17:21:16,052 [  13567]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-07-15 17:21:16,057 [  13572]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-07-15 17:21:16,059 [  13574]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index java.module.name will be built. 
